City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Ambon,ID,2022-01-26 19:08:37,-3.6954,128.1814,77.14,94,40,8.05
207,Kaa-Khem,RU,2022-01-26 19:08:37,51.6833,94.7333,-12.96,93,100,2.73
208,Higueron,MX,2022-01-26 19:08:38,18.5833,-99.1667,83.37,28,0,0.98
209,Svetlogorsk,BY,2022-01-26 19:08:38,52.6333,29.7333,12.9,96,98,3.53
210,Flagstaff,US,2022-01-26 19:08:38,35.1981,-111.6513,42.6,37,0,8.05
211,Padang,ID,2022-01-26 19:08:39,-0.9492,100.3543,78.46,81,100,3.94
212,Barrow,US,2022-01-26 19:08:17,71.2906,-156.7887,-11.18,70,0,17.27
213,Tiksi,RU,2022-01-26 19:08:39,71.6872,128.8694,-2.67,91,9,17.81
214,Harindanga,IN,2022-01-26 19:08:40,22.0383,88.3214,66.18,82,45,7.87
215,Sukhovolya,UA,2022-01-26 19:08:41,49.8243,23.8377,33.89,100,75,7.0
216,Pangai,TO,2022-01-26 19:07:19,-19.8,-174.35,81.5,78,14,11.18
217,Isiro,CD,2022-01-26 19:08:41,2.7739,27.616,74.52,36,100,2.75
218,Sangar,RU,2022-01-26 19:08:41,63.9242,127.4739,-22.13,96,100,3.85
219,Moss Vale,AU,2022-01-26 19:08:42,-34.55,150.3833,59.32,77,93,6.46
220,Noshiro,JP,2022-01-26 19:08:42,40.2039,140.0242,34.75,73,98,17.31
221,Brae,GB,2022-01-26 19:08:43,60.3964,-1.353,48.11,84,100,31.59
222,Tuktoyaktuk,CA,2022-01-26 19:08:43,69.4541,-133.0374,-6.16,88,30,16.04
223,Methoni,GR,2022-01-26 19:08:44,36.8197,21.7049,42.22,47,1,7.07
224,Omboue,GA,2022-01-26 19:08:44,-1.5746,9.2618,76.77,89,100,5.1
225,Baykit,RU,2022-01-26 19:08:44,61.67,96.37,-20.06,100,56,1.03
226,Anuradhapura,LK,2022-01-26 19:08:45,8.3565,80.4173,68.61,85,91,4.18
227,Panguipulli,CL,2022-01-26 19:08:45,-39.6333,-72.3333,80.31,26,3,5.12
228,Tubuala,PA,2022-01-26 19:08:46,9.5167,-79.0333,92.55,73,100,10.36
229,Ryotsu,JP,2022-01-26 19:08:46,38.0833,138.4333,39.92,57,96,17.16
230,Lincoln,US,2022-01-26 19:06:00,40.8,-96.667,35.91,51,0,10.0
231,Merrill,US,2022-01-26 19:08:14,45.1805,-89.6835,7.57,56,0,13.8
232,Mill Valley,US,2022-01-26 19:07:20,37.906,-122.545,58.05,79,0,1.01
233,Shakhunya,RU,2022-01-26 19:08:47,57.6758,46.6114,3.88,98,100,4.12
234,The Valley,AI,2022-01-26 19:09:47,18.217,-63.0578,80.82,69,20,9.22
235,Makakilo City,US,2022-01-26 19:09:48,21.3469,-158.0858,75.52,71,0,5.75
236,Hermanus,ZA,2022-01-26 19:09:15,-34.4187,19.2345,66.79,82,100,12.71
237,Mar Del Plata,AR,2022-01-26 19:05:34,-38.0023,-57.5575,66.22,73,20,25.99
238,Santa Clara,CU,2022-01-26 19:09:49,22.4,-79.9667,87.46,37,20,6.91
239,Mount Gambier,AU,2022-01-26 19:09:49,-37.8333,140.7667,69.33,82,1,5.5
240,Cibitoke,BI,2022-01-26 19:09:50,-2.8833,29.25,64.54,87,100,3.18
241,Shirgaon,IN,2022-01-26 19:09:50,19.7,72.7,67.87,43,0,13.65
242,Talnakh,RU,2022-01-26 19:09:50,69.4865,88.3972,-3.41,97,100,16.78
243,College,US,2022-01-26 19:09:51,64.8569,-147.8028,1.06,77,75,0.0
244,Dunedin,NZ,2022-01-26 19:08:58,-45.8742,170.5036,52.81,71,64,15.01
245,Monywa,MM,2022-01-26 19:09:51,22.1167,95.1333,59.38,89,18,2.26
246,Castro,BR,2022-01-26 19:09:52,-24.7911,-50.0119,87.82,45,32,4.43
247,Batticaloa,LK,2022-01-26 19:09:52,7.7102,81.6924,75.45,68,21,1.95
248,Kandrian,PG,2022-01-26 19:09:53,-6.2167,149.55,77.88,89,98,7.99
249,Thinadhoo,MV,2022-01-26 19:09:53,0.5333,72.9333,81.48,71,100,20.76
250,Seoul,KR,2022-01-26 19:06:45,37.5683,126.9778,27.91,43,100,3.51
251,Caxito,AO,2022-01-26 19:09:54,-8.5785,13.6643,77.65,82,89,2.82
252,Tilichiki,RU,2022-01-26 19:06:40,60.4667,166.1,7.11,95,100,9.17
253,West Bay,KY,2022-01-26 19:09:54,19.3667,-81.4167,84.99,74,14,1.01
254,Gasa,PS,2022-01-26 19:09:55,31.5,34.4667,48.18,85,100,27.16
255,Mudgee,AU,2022-01-26 19:09:55,-32.5943,149.5871,63.79,93,17,5.91
256,Plover,US,2022-01-26 19:09:56,44.4564,-89.544,9.45,53,0,11.01
257,Staraya Poltavka,RU,2022-01-26 19:09:56,50.4772,46.4814,9.05,99,84,4.14
258,Demyansk,RU,2022-01-26 19:09:56,57.643,32.466,15.17,96,100,5.57
259,Qasigiannguit,GL,2022-01-26 19:09:57,68.8193,-51.1922,17.85,95,100,9.71
260,Sivas,TR,2022-01-26 19:09:58,39.7916,37.0019,23.63,86,100,4.61
261,Namatanai,PG,2022-01-26 19:09:58,-3.6667,152.4333,79.86,82,76,3.67
262,Clyde River,CA,2022-01-26 19:09:59,70.4692,-68.5914,-14.6,96,100,18.07
263,Sibolga,ID,2022-01-26 19:09:59,1.7427,98.7792,76.66,78,100,3.0
264,Chuy,UY,2022-01-26 19:09:59,-33.6971,-53.4616,70.23,96,100,7.4
265,Harper,LR,2022-01-26 19:10:00,4.375,-7.7169,79.97,79,57,8.48
266,Sao Sebastiao,BR,2022-01-26 19:10:00,-23.76,-45.4097,84.22,68,45,3.6
267,Zabol,AF,2022-01-26 19:10:01,32.25,67.25,30.29,54,0,1.57
268,Mayo,US,2022-01-26 19:10:01,38.8876,-76.5119,35.08,40,0,8.99
269,Karratha,AU,2022-01-26 19:10:02,-20.7377,116.8463,80.91,66,1,9.78
270,Banepa,NP,2022-01-26 19:10:02,27.6298,85.5214,41.32,87,75,4.61
271,Grand-Lahou,CI,2022-01-26 19:10:03,5.1367,-5.0242,80.02,76,2,8.46
